Crop,Init. (Lini),Dev. (Ldev),Mid (Lmid),Late (Llate),Total_days,Kc ini,Kc mid,Kc end,Maximum Crop Height (h) (m),Plant Date,Min_Root,Mid-Dev Root Depth,Max_Root,p (MAD)
Carrots,20,30,40,20,100,0.7,1.05,0.95,0.3,Oct/Jan,0.15,0.45,0.75,0.35
Castorbean ,25,40,65,50,180,0.35,1.15,0.55,0.3,March,0.15,0.83,1.5,0.5
Cauliflower,35,50,40,15,140,0.7,1.05,0.95,0.4,Sept,0.15,0.35,0.55,0.45
Celery,25,40,95,20,180,0.7,1.05,1,0.6,Oct,0.15,0.28,0.4,0.2
Chick pea,15,25,35,15,90,0.4,1,0.35,0.4,May,0.15,0.48,0.8,0.5
Cotton,30,50,60,55,195,0.35,1.17,0.6,1.35,Mar-May,0.15,0.75,1.35,0.65
Flax,25,35,50,40,150,0.35,1.1,0.25,1.2,April,0.15,0.7,1.25,0.5
Garlic,,,,,,0.7,1,0.7,0.3,,0.15,0.28,0.4,0.3
Green Beans,15,25,35,20,95,0.5,1.052,0.9,0.4,June,0.15,0.38,0.6,0.45
Green Gram,20,30,30,20,110,0.4,1.05,0.47,0.4,March,0.15,0.48,0.8,0.45
Groundnut ,35,35,35,35,140,0.4,1.15,0.6,0.4,season,0.15,0.45,0.75,0.5
Kiwi,,,,,,0.4,1.05,1.05,3,,0.15,0.58,1,0.35
Lentil,20,30,60,40,150,0.4,1.1,0.3,0.5,April,0.15,0.43,0.7,0.5
Lettuce,20,30,15,10,75,0.7,1,0.95,0.3,April,0.15,0.28,0.4,0.3
Maize,20,35,40,30,125,0.3,1.2,0.47,2,October,0.15,0.75,1.35,0.55
Millet,15,25,40,25,105,1,0.3,1.5,1.5,June,0.15,0.83,1.5,0.55
Onions,15,25,70,40,150,0.7,1.05,0.75,0.4,April,0.15,,,0.3
Peas,15,25,35,15,90,0.5,1.152,1.1,0.5,May,0.15,0.48,0.8,0.35
Potato,25,30,37,30,122,0.5,1.15,0.75,0.6,Jan/Nov,0.15,0.33,0.5,0.35
Radish,5,10,15,5,35,0.7,0.9,0.85,0.3,Mar/Apr,0.15,0.28,0.4,0.3
"Rapeseed, Canola",,,,,,0.35,1.13,0.35,0.6,,0.15,0.7,1.25,0.6
Rice,30,30,60,30,150,1.05,1.2,0.75,1,Dec; May,0.15,0.45,0.75,0.2
Safflower,20,35,45,25,125,0.35,1.13,0.25,0.8,April,0.15,0.83,1.5,0.6
Sesame,20,30,40,20,100,0.35,1.1,0.25,1,June,0.15,0.7,1.25,0.6
Sisal ,,,,,,0.35,0.55,0.55,1.5,,0.15,0.45,0.75,0.8
Sorghum,20,35,40,30,130,0.3,1.05,0.55,1.5,May/June,0.15,0.83,1.5,0.55
Soybeans,15,15,40,15,85,0.4,1.15,0.5,0.75,Dec,0.15,0.55,0.95,0.5
Spinach,20,20,20,5,65,0.7,1,0.95,0.3,Apr; Sep/Oct,0.15,0.28,0.4,0.2
Sugar Cane,50,70,220,140,480,0.4,1.25,0.75,3,,0.15,0.88,1.6,0.65
Sunflower,25,35,45,25,130,0.35,1.13,0.35,2,April/May,0.15,0.65,1.15,0.45
Sweet corn,20,30,40,10,90,0.3,1.15,1.05,1.5,Oct/Dec,0.15,0.58,1,0.5
Tomato,30,40,40,25,135,0.6,1.152,0.8,0.6,January,0.15,0.63,1.1,0.4
Wheat,20,60,70,30,180,0.3,1.15,0.33,1,December,0.15,0.7,1.25,0.55
